race_source_id,date,course,race_type,subtype,distance,distance_yards,horse,finish_position,or,pooled_rating,subtype_rating,subtype_same_day_rating,subtype_historical_rating,pooled_standard,subtype_standard,pooled_sample,subtype_sample
865308,2025-06-29,Cartmel,handicap,chase,3m 1f 107y,5607,Defence Witness,5,92,-103.33,-103.33,-,-70.93,393.51,393.51,7,7
845189,2025-02-21,Warwick,handicap,hurdle,3m 2f,5720,Myfanwy's Magic,4,104,-102.95,-102.95,-,-42.28,379.72,379.72,5,5
836801,2025-01-01,Fakenham,handicap,hurdle,2m 7f 95y,5155,Lady's Present,2,80,-102.52,-102.52,-,-29.47,364.05,364.05,7,7
840901,2025-01-28,Chepstow,handicap,chase,2m 11y,3531,Lupus Regem,5,110,-102.50,-110.70,-,-17.66,240.18,238.57,35,7
888194,2025-11-06,Newbury,,nh_flat,2m 69y,3589,St Aurelia,11,,-102.34,-96.77,-73.45,-84.06,243.50,244.55,25,4
893225,2025-12-10,Hexham,maiden,hurdle,2m 4f 28y,4428,Whiskey On Ice,5,110,-101.90,-101.90,82.93,-4.20,316.10,316.10,19,19
855733,2025-05-03,Hexham,handicap,chase,3m 41y,5321,Super Citizen,8,100,-101.87,-101.87,-,-98.05,403.20,403.20,13,13
885236,2025-10-20,Plumpton,handicap,chase,3m 1f 157y,5657,Ken Roy,1,109,-101.86,-101.86,-,-127.21,400.80,400.80,3,3
841726,2025-01-30,Wincanton,novice,hurdle,2m 5f 82y,4702,Springtime Legend,2,,-101.86,-101.86,-,31.40,310.06,310.06,5,5
841726,2025-01-30,Wincanton,novice,hurdle,2m 5f 82y,4702,Bobbi With An I,1,,-101.66,-101.66,-,31.60,310.06,310.06,5,5
865308,2025-06-29,Cartmel,handicap,chase,3m 1f 107y,5607,The King Of May,4,92,-101.33,-101.33,-,-68.93,393.51,393.51,7,7
845189,2025-02-21,Warwick,handicap,hurdle,3m 2f,5720,Siberian Star,3,98,-101.20,-101.20,-,-40.53,379.72,379.72,5,5
